,time (min),,T(°C),T(K),a,da/dT
0:09:43,9.72,86.5981,127.1666667,400.3166667,0,
0:09:57,9.95,86.5981,129.5,402.65,0,0.0000
0:10:11,10.18,86.5981,131.8333333,404.9833333,0,0.0000
0:10:25,10.42,86.5981,134.1666667,407.3166667,0,0.0000
0:10:39,10.65,86.5981,136.5,409.65,0,0.0000
0:10:53,10.88,86.5981,138.8333333,411.9833333,0,0.0000
0:11:07,11.12,86.5981,141.1666667,414.3166667,0,0.0000
0:11:21,11.35,86.5981,143.5,416.65,0,0.0000
0:11:35,11.58,86.5981,145.8333333,418.9833333,0,0.0000
0:11:49,11.82,86.5981,148.1666667,421.3166667,0,0.0000
0:12:03,12.05,86.5981,150.5,423.65,0,0.0000
0:12:16,12.27,86.5981,152.6666667,425.8166667,0,0.0000
0:12:30,12.50,86.5981,155,428.15,0,0.0000
0:12:44,12.73,86.5981,157.3333333,430.4833333,0,0.0000
0:12:58,12.97,86.5981,159.6666667,432.8166667,0,0.0000
0:16:14,16.23,86.5981,192.3333333,465.4833333,0,0.0000
0:16:28,16.47,86.5981,194.6666667,467.8166667,0,0.0000
0:16:42,16.70,86.5981,197,470.15,0,0.0000
0:16:56,16.93,86.5981,199.3333333,472.4833333,0,0.0000
0:17:52,17.87,86.4817,208.6666667,481.8166667,0.00134531,0.0001
0:19:16,19.27,86.3652,222.6666667,495.8166667,0.002691776,0.0001
0:19:44,19.73,86.2488,227.3333333,500.4833333,0.004037086,0.0003
0:20:12,20.20,86.1323,232,505.15,0.005383552,0.0003
0:20:40,20.67,86.0159,236.6666667,509.8166667,0.006728862,0.0003
0:21:08,21.13,85.8994,241.3333333,514.4833333,0.008075328,0.0003
0:21:22,21.37,85.783,243.6666667,516.8166667,0.009420638,0.0006
0:21:36,21.60,85.7248,246,519.15,0.010093293,0.0003
0:21:50,21.83,85.5501,248.3333333,521.4833333,0.012112414,0.0009
0:22:04,22.07,85.4336,250.6666667,523.8166667,0.01345888,0.0006
0:22:18,22.30,85.259,253,526.15,0.015476845,0.0009
0:22:32,22.53,85.1425,255.3333333,528.4833333,0.016823311,0.0006
0:22:46,22.77,84.9678,257.6666667,530.8166667,0.018842432,0.0009
0:23:00,23.00,84.8514,260,533.15,0.020187742,0.0006
0:23:14,23.23,84.6767,262.3333333,535.4833333,0.022206863,0.0009
0:23:28,23.47,84.502,264.6666667,537.8166667,0.024225984,0.0009
0:23:42,23.70,84.3856,267,540.15,0.025571295,0.0006
0:23:56,23.93,84.2109,269.3333333,542.4833333,0.027590415,0.0009
0:24:10,24.17,83.9198,271.6666667,544.8166667,0.030954847,0.0014
0:24:23,24.38,83.6869,273.8333333,546.9833333,0.033646623,0.0012
0:24:37,24.62,83.454,276.1666667,549.3166667,0.036338399,0.0012
0:24:51,24.85,83.1629,278.5,551.65,0.03970283,0.0014
0:25:05,25.08,82.93,280.8333333,553.9833333,0.042394606,0.0012
0:25:19,25.32,82.6971,283.1666667,556.3166667,0.045086382,0.0012
0:25:33,25.55,82.4642,285.5,558.65,0.047778158,0.0012
0:25:47,25.78,82.2312,287.8333333,560.9833333,0.05047109,0.0012
0:26:01,26.02,81.9983,290.1666667,563.3166667,0.053162866,0.0012
0:26:15,26.25,81.7654,292.5,565.65,0.055854642,0.0012
0:26:29,26.48,81.5325,294.8333333,567.9833333,0.058546418,0.0012
0:26:43,26.72,81.2414,297.1666667,570.3166667,0.061910849,0.0014
