T(K),a,da/dT
303.15,0,
417.48,0,0
419.82,0,0
422.15,0,0
424.48,0,0
426.82,0,0
461.82,0,0.00E+00
464.15,0,2.14E-06
471.15,0,4.99E-05
473.65,0,6.38E-05
475.98,0.000775674,7.55E-05
478.32,0.001551348,7.75E-05
480.65,0.001551348,9.27E-05
485.32,0.001551348,0.000128063
487.65,0.001551348,0.000151272
489.98,0.002327022,0.000189323
494.65,0.00387837,0.000284581
496.98,0.004655417,0.000343048
499.32,0.006206765,0.000353662
501.65,0.006982439,0.000352301
503.98,0.007758113,0.000354535
506.32,0.008533787,0.000372602
508.65,0.009310834,0.000415593
510.98,0.010086508,0.000473816
513.32,0.011637856,0.00053696
515.65,0.013189204,0.000573365
517.98,0.014741925,0.000617176
520.32,0.017845994,0.000648399
522.65,0.019397342,0.000667297
524.98,0.02094869,0.000688133
527.32,0.024052759,0.000733591
529.65,0.025604107,0.000824492
531.98,0.027156828,0.000929192
534.32,0.030259524,0.001013324
536.65,0.031812245,0.001119138
538.98,0.034914941,0.001228759
541.32,0.038794684,0.001331831
543.65,0.041898753,0.001348666
545.98,0.045002822,0.001335381
548.32,0.048105518,0.001323959
550.82,0.051209587,0.00131652
553.15,0.054313656,0.001315521
555.48,0.057416352,0.001320919
557.82,0.060520421,0.001337389
560.15,0.06362449,0.00135753
562.48,0.066727186,0.001376574
564.82,0.070606929,0.001384589
567.15,0.073710998,0.00138593
569.48,0.077590741,0.001384294
571.82,0.080693437,0.00137547
574.15,0.083797506,0.001357416
576.48,0.086901575,0.001342901
578.82,0.090004272,0.001330239
581.15,0.093108341,0.001317962
583.48,0.096212409,0.001306933
585.82,0.099316478,0.00129944
588.15,0.101643501,0.001287391
590.48,0.10474757,0.00124886
592.82,0.106298918,0.001204848
595.15,0.109402987,0.001169257
597.48,0.111730009,0.001134985
599.82,0.114058404,0.001081905
602.15,0.1171611,0.001018088
604.48,0.119489495,0.000950563
606.82,0.12181789,0.000888477
609.15,0.123369238,0.000832269
611.48,0.126473307,0.000787835
613.82,0.128024655,0.000748671
616.15,0.129576003,0.000709998
620.82,0.13423142,0.000639469
623.15,0.135784141,0.000848693
625.48,0.137335489,0.001057806
627.82,0.140439558,0.001266272
630.32,0.144317928,0.001487368
632.65,0.150526066,0.001692034
634.98,0.160612574,0.001895466
637.32,0.165112856,0.002098641
639.65,0.173027477,0.002300032
641.98,0.180009916,0.002500992
644.32,0.187769402,0.002703309
646.65,0.194753214,0.002906723
648.98,0.201735653,0.003112959
651.32,0.209495139,0.003310213
653.65,0.217254625,0.003459763
655.98,0.226565459,0.003587296
658.32,0.235876293,0.003697739
660.65,0.246074004,0.003789637
662.98,0.255162432,0.003863264
665.32,0.265360143,0.003918263
667.65,0.274670977,0.003957872
669.98,0.284758858,0.003984073
672.32,0.294845366,0.00399542
674.65,0.3041562,0.003990262
676.98,0.314353911,0.003970412
679.32,0.32344234,0.003940496
681.65,0.33395032,0.003905703
683.98,0.342330345,0.003869447
686.32,0.350710371,0.003831511
688.65,0.359400666,0.003789912
690.98,0.366849882,0.003741896
693.32,0.376470986,0.003687158
695.65,0.383920202,0.003628353
697.98,0.392609124,0.003567117
700.32,0.400989149,0.003504021
702.65,0.409679444,0.003440532
704.98,0.418369739,0.003378517
707.32,0.426749764,0.003318426
709.82,0.435440059,0.003255651
712.15,0.442267363,0.003195941
714.48,0.448475501,0.003133783
716.82,0.454682266,0.003067078
719.15,0.462441752,0.002994927
721.48,0.468648517,0.002917081
723.82,0.474856655,0.002833621
726.15,0.48106342,0.002747739
728.48,0.488047232,0.002661743
730.82,0.495029671,0.002576833
733.15,0.501236436,0.002494619
735.48,0.507444574,0.002413748
737.82,0.513651339,0.00233331
740.15,0.518306756,0.00225236
742.48,0.522962173,0.0021699
744.82,0.526066242,0.002087027
747.15,0.530721659,0.002005841
749.48,0.533825728,0.001925599
751.82,0.538481145,0.001847291
754.15,0.541583842,0.001774455
756.48,0.546239259,0.001709496
758.82,0.549343328,0.001654474
761.15,0.553998745,0.001610701
763.48,0.557102814,0.001576187
765.82,0.560206883,0.001547266
768.15,0.564085253,0.001520918
770.48,0.567964996,0.001495782
772.82,0.571069065,0.001470382
775.15,0.574173134,0.001444054
777.48,0.57727583,0.001417626
779.82,0.580379899,0.001393491
782.15,0.584259642,0.001372368
784.48,0.588139385,0.001354903
786.98,0.590466407,0.001339388
789.32,0.593570476,0.001325852
791.65,0.596674545,0.001311266
793.98,0.599777241,0.001296062
796.32,0.602105636,0.00128023
798.65,0.603656984,0.001263036
800.98,0.607536727,0.001244801
803.32,0.61141647,0.001226842
805.65,0.613743492,0.001210712
807.98,0.616847561,0.001197902
810.32,0.61995163,0.001188783
812.65,0.622278652,0.001180902
814.98,0.624607047,0.001172251
817.32,0.627709743,0.001162237
819.65,0.630038138,0.001151041
821.98,0.632366533,0.001138552
824.32,0.635469229,0.001125353
826.65,0.637797624,0.001113174
828.98,0.640124646,0.001103299
831.32,0.643228715,0.001095653
833.65,0.646332784,0.001089109
835.98,0.647884132,0.00108369
838.32,0.650988201,0.001077886
840.65,0.652539549,0.001071233
842.98,0.655643618,0.001063014
845.32,0.65797064,0.001053191
847.65,0.660299035,0.001041688
849.98,0.662626057,0.001028781
852.32,0.664954452,0.001016008
854.65,0.668057148,0.00100382
856.98,0.669609869,0.000993577
859.32,0.672712565,0.000984448
861.65,0.674265286,0.000974076
863.98,0.678145029,0.0009618
866.48,0.678920703,0.000947436
868.82,0.681247725,0.000934134
871.15,0.68357612,0.00092168
873.48,0.685127468,0.000909374
875.82,0.688231537,0.000898282
878.15,0.689782885,0.000888855
880.48,0.692886954,0.000880665
882.82,0.694438302,0.000873935
885.15,0.695213976,0.000868278
887.48,0.699093719,0.000863186
889.82,0.70064644,0.000857649
892.15,0.703749136,0.000852552
894.48,0.705301857,0.000847308
896.82,0.706853205,0.000842206
899.15,0.709957274,0.000837262
901.48,0.711508622,0.000833242
903.82,0.71305997,0.000830991
906.15,0.715388365,0.000829141
908.48,0.717715387,0.00082664
910.82,0.719268108,0.000822142
913.15,0.720819456,0.000817095
915.48,0.723923525,0.000813813
917.82,0.725474873,0.000812637
920.15,0.727026221,0.000812066
922.48,0.728578942,0.00081013
924.82,0.730905964,0.000807382
927.15,0.733234359,0.000804556
929.48,0.734785707,0.000801747
931.82,0.736338428,0.000799268
934.15,0.737889776,0.000797068
936.48,0.740216798,0.000794151
938.82,0.742545193,0.000789901
941.15,0.744872216,0.000784932
943.48,0.745649262,0.000779944
945.98,0.74720061,0.000774079
948.32,0.749527633,0.000767983
950.65,0.751080353,0.000762044
952.98,0.753407376,0.000756579
955.32,0.754960096,0.000751648
957.65,0.756511445,0.000746696
959.98,0.758062793,0.000741803
962.32,0.759615513,0.000737496
964.65,0.761166862,0.000734026
966.98,0.763495256,0.00073069
971.65,0.766597953,0.000721318
973.98,0.768150674,0.000716226
976.32,0.769702022,0.000711896
978.65,0.772029044,0.000707275
980.98,0.773581765,0.0006982
983.32,0.775133113,0.00069182
985.65,0.776684461,0.000684287
987.98,0.778237182,0.000675742
990.32,0.77978853,0.000666387
992.65,0.781339878,0.000656988
994.98,0.782892599,0.000648103
997.32,0.784443947,0.00063905
999.65,0.785996668,0.000628674
1001.98,0.786772342,0.000617659
1004.32,0.78832369,0.000606311
1006.65,0.789875038,0.000594958
1011.32,0.792979107,0.000572433
1013.65,0.794530455,0.000561353
1015.98,0.795307502,0.000550344
1018.32,0.79685885,0.000539303
1020.65,0.798410198,0.000528312
1023.15,0.799185872,0.00051647
,,
Cenizas,,
