,time (min),,T(°C),T(K),a,da/dT
0:11:18,11.30,85.1471,143,416.15,0,
0:11:32,11.53,85.1471,145.3333333,418.4833333,0,0
0:11:46,11.77,85.1471,147.6666667,420.8166667,0,0
0:12:00,12.00,85.1471,150,423.15,0,0
0:12:14,12.23,85.1471,152.3333333,425.4833333,0,0
0:13:10,13.17,85.1471,161.6666667,434.8166667,0,0
0:13:24,13.40,85.1471,164,437.15,0,0
0:16:11,16.18,85.1471,191.8333333,464.9833333,0,0
0:16:25,16.42,85.1471,194.1666667,467.3166667,0,0
0:17:07,17.12,85.1471,201.1666667,474.3166667,0,0
0:17:21,17.35,85.1471,203.5,476.65,0,0
0:17:35,17.58,85.0899,205.8333333,478.9833333,0.000672317,0.000288136
0:17:49,17.82,85.0326,208.1666667,481.3166667,0.00134581,0.00028864
0:18:59,18.98,84.9754,219.8333333,492.9833333,0.002018127,5.76272E-05
0:19:13,19.22,84.9181,222.1666667,495.3166667,0.002691619,0.00028864
0:19:55,19.92,84.8036,229.1666667,502.3166667,0.004037429,0.000192259
0:20:22,20.37,84.6891,233.6666667,506.8166667,0.005383238,0.000299069
0:20:36,20.60,84.6318,236,509.15,0.006056731,0.00028864
0:20:50,20.83,84.5746,238.3333333,511.4833333,0.006729048,0.000288136
0:21:04,21.07,84.5173,240.6666667,513.8166667,0.00740254,0.00028864
0:21:18,21.30,84.4601,243,516.15,0.008074858,0.000288136
0:21:32,21.53,84.3456,245.3333333,518.4833333,0.009420667,0.000576776
0:21:46,21.77,84.2883,247.6666667,520.8166667,0.01009416,0.00028864
0:22:00,22.00,84.1738,250,523.15,0.011439969,0.000576776
0:22:14,22.23,84.0593,252.3333333,525.4833333,0.012785779,0.000576776
0:22:28,22.47,83.8303,254.6666667,527.8166667,0.015477398,0.001153551
0:22:42,22.70,83.7158,257,530.15,0.016823208,0.000576776
0:22:56,22.93,83.6585,259.3333333,532.4833333,0.0174967,0.00028864
0:23:10,23.17,83.3722,261.6666667,534.8166667,0.020861812,0.001442191
0:23:24,23.40,83.2577,264,537.15,0.022207621,0.000576776
0:23:38,23.63,83.0287,266.3333333,539.4833333,0.024899241,0.001153551
0:23:52,23.87,82.9142,268.6666667,541.8166667,0.02624505,0.000576776
0:24:06,24.10,82.6852,271,544.15,0.028936669,0.001153551
0:24:20,24.33,82.5134,273.3333333,546.4833333,0.030955971,0.000865415
0:24:34,24.57,82.2844,275.6666667,548.8166667,0.033647591,0.001153551
0:24:47,24.78,82.0554,277.8333333,550.9833333,0.03633921,0.001242286
0:25:01,25.02,81.7691,280.1666667,553.3166667,0.039704322,0.001442191
0:25:15,25.25,81.4829,282.5,555.65,0.043068258,0.001441687
0:25:29,25.48,81.2539,284.8333333,557.9833333,0.045759877,0.001153551
0:25:43,25.72,81.0249,287.1666667,560.3166667,0.048451496,0.001153551
0:25:57,25.95,80.7958,289.5,562.65,0.051144291,0.001154055
0:26:11,26.18,80.5096,291.8333333,564.9833333,0.054508227,0.001441687
0:26:25,26.42,80.2233,294.1666667,567.3166667,0.057873339,0.001442191
0:26:39,26.65,79.9943,296.5,569.65,0.060564958,0.001153551
0:26:53,26.88,79.7653,298.8333333,571.9833333,0.063256577,0.001153551
0:27:07,27.12,79.5363,301.1666667,574.3166667,0.065948196,0.001153551
0:27:21,27.35,79.3072,303.5,576.65,0.068640991,0.001154055
0:27:35,27.58,79.021,305.8333333,578.9833333,0.072004927,0.001441687
0:27:49,27.82,78.7347,308.1666667,581.3166667,0.075370039,0.001442191
0:28:03,28.05,78.5057,310.5,583.65,0.078061658,0.001153551
0:28:17,28.28,78.2767,312.8333333,585.9833333,0.080753277,0.001153551
0:28:31,28.52,78.0477,315.1666667,588.3166667,0.083444896,0.001153551
0:28:45,28.75,77.8186,317.5,590.65,0.086137691,0.001154055
