,time (min),,T(°C),T(K),a,da/dT
0:11:26,11.43,84.135,144.33,417.48,0.0000,
0:11:40,11.67,84.135,146.67,419.82,0.0000,0.0000
0:11:54,11.90,84.135,149.00,422.15,0.0000,0.0000
0:12:08,12.13,84.135,151.33,424.48,0.0000,0.0000
0:12:22,12.37,84.135,153.67,426.82,0.0000,0.0000
0:15:52,15.87,84.135,188.67,461.82,0.0000,0.0000
0:16:06,16.10,84.135,191.00,464.15,0.0000,0.0000
0:16:48,16.80,84.135,198.00,471.15,0.0000,0.0000
0:17:03,17.05,84.135,200.50,473.65,0.0000,0.0000
0:17:17,17.28,84.0785,202.83,475.98,0.0007,0.0003
0:17:31,17.52,84.022,205.17,478.32,0.0013,0.0003
0:17:45,17.75,84.022,207.50,480.65,0.0013,0.0000
0:18:13,18.22,84.022,212.17,485.32,0.0013,0.0000
0:18:27,18.45,84.022,214.50,487.65,0.0013,0.0000
0:18:41,18.68,83.9655,216.83,489.98,0.0020,0.0003
0:19:09,19.15,83.8525,221.50,494.65,0.0034,0.0003
0:19:23,19.38,83.7959,223.83,496.98,0.0040,0.0003
0:19:37,19.62,83.6829,226.17,499.32,0.0054,0.0006
0:19:51,19.85,83.6264,228.50,501.65,0.0060,0.0003
0:20:05,20.08,83.5699,230.83,503.98,0.0067,0.0003
0:20:19,20.32,83.5134,233.17,506.32,0.0074,0.0003
0:20:33,20.55,83.4568,235.50,508.65,0.0081,0.0003
0:20:47,20.78,83.4003,237.83,510.98,0.0087,0.0003
0:21:01,21.02,83.2873,240.17,513.32,0.0101,0.0006
0:21:15,21.25,83.1743,242.50,515.65,0.0114,0.0006
0:21:29,21.48,83.0612,244.83,517.98,0.0128,0.0006
0:21:43,21.72,82.8351,247.17,520.32,0.0155,0.0012
0:21:57,21.95,82.7221,249.50,522.65,0.0168,0.0006
0:22:11,22.18,82.6091,251.83,524.98,0.0181,0.0006
0:22:25,22.42,82.383,254.17,527.32,0.0208,0.0012
0:22:39,22.65,82.27,256.50,529.65,0.0222,0.0006
0:22:53,22.88,82.1569,258.83,531.98,0.0235,0.0006
0:23:07,23.12,81.9309,261.17,534.32,0.0262,0.0012
0:23:21,23.35,81.8178,263.50,536.65,0.0276,0.0006
0:23:35,23.58,81.5918,265.83,538.98,0.0302,0.0012
0:23:49,23.82,81.3092,268.17,541.32,0.0336,0.0014
0:24:03,24.05,81.0831,270.50,543.65,0.0363,0.0012
0:24:17,24.28,80.857,272.83,545.98,0.0390,0.0012
0:24:31,24.52,80.631,275.17,548.32,0.0417,0.0012
0:24:46,24.77,80.4049,277.67,550.82,0.0444,0.0011
0:25:00,25.00,80.1788,280.00,553.15,0.0470,0.0012
0:25:14,25.23,79.9528,282.33,555.48,0.0497,0.0012
0:25:28,25.47,79.7267,284.67,557.82,0.0524,0.0012
0:25:42,25.70,79.5006,287.00,560.15,0.0551,0.0012
0:25:56,25.93,79.2746,289.33,562.48,0.0578,0.0012
0:26:10,26.17,78.992,291.67,564.82,0.0612,0.0014
0:26:24,26.40,78.7659,294.00,567.15,0.0638,0.0012
0:26:38,26.63,78.4833,296.33,569.48,0.0672,0.0014
0:26:52,26.87,78.2573,298.67,571.82,0.0699,0.0012
0:27:06,27.10,78.0312,301.00,574.15,0.0726,0.0012
0:27:20,27.33,77.8051,303.33,576.48,0.0753,0.0012
0:27:34,27.57,77.5791,305.67,578.82,0.0780,0.0012
0:27:48,27.80,77.353,308.00,581.15,0.0806,0.0012
0:28:02,28.03,77.1269,310.33,583.48,0.0833,0.0012
0:28:16,28.27,76.9008,312.67,585.82,0.0860,0.0012
0:28:30,28.50,76.7313,315.00,588.15,0.0880,0.0009
0:28:44,28.73,76.5052,317.33,590.48,0.0907,0.0012
0:28:58,28.97,76.3922,319.67,592.82,0.0921,0.0006
0:29:12,29.20,76.1661,322.00,595.15,0.0948,0.0012
0:29:26,29.43,75.9966,324.33,597.48,0.0968,0.0009
0:29:40,29.67,75.827,326.67,599.82,0.0988,0.0009
0:29:54,29.90,75.601,329.00,602.15,0.1015,0.0012
0:30:08,30.13,75.4314,331.33,604.48,0.1035,0.0009
0:30:22,30.37,75.2618,333.67,606.82,0.1055,0.0009
0:30:36,30.60,75.1488,336.00,609.15,0.1069,0.0006
0:30:50,30.83,74.9227,338.33,611.48,0.1095,0.0012
0:31:04,31.07,74.8097,340.67,613.82,0.1109,0.0006
0:31:18,31.30,74.6967,343.00,616.15,0.1122,0.0006
0:31:46,31.77,74.3576,347.67,620.82,0.1163,0.0009
0:32:00,32.00,74.2445,350.00,623.15,0.1176,0.0006
0:32:14,32.23,74.1315,352.33,625.48,0.1190,0.0006
0:32:28,32.47,73.9054,354.67,627.82,0.1216,0.0012
0:32:43,32.72,73.6229,357.17,630.32,0.1250,0.0013
0:32:57,32.95,73.1707,359.50,632.65,0.1304,0.0023
0:33:11,33.18,72.436,361.83,634.98,0.1391,0.0037
0:33:25,33.42,72.1082,364.17,637.32,0.1430,0.0017
0:33:39,33.65,71.5317,366.50,639.65,0.1499,0.0029
0:33:53,33.88,71.0231,368.83,641.98,0.1559,0.0026
0:34:07,34.12,70.4579,371.17,644.32,0.1626,0.0029
0:34:21,34.35,69.9492,373.50,646.65,0.1687,0.0026
0:34:35,34.58,69.4406,375.83,648.98,0.1747,0.0026
0:34:49,34.82,68.8754,378.17,651.32,0.1815,0.0029
0:35:03,35.05,68.3102,380.50,653.65,0.1882,0.0029
0:35:17,35.28,67.632,382.83,655.98,0.1962,0.0035
0:35:31,35.52,66.9538,385.17,658.32,0.2043,0.0035
0:35:45,35.75,66.211,387.50,660.65,0.2131,0.0038
0:35:59,35.98,65.549,389.83,662.98,0.2210,0.0034
0:36:13,36.22,64.8062,392.17,665.32,0.2298,0.0038
0:36:27,36.45,64.128,394.50,667.65,0.2379,0.0035
0:36:41,36.68,63.3932,396.83,669.98,0.2466,0.0037
0:36:55,36.92,62.6585,399.17,672.32,0.2554,0.0037
0:37:09,37.15,61.9803,401.50,674.65,0.2634,0.0035
0:37:23,37.38,61.2375,403.83,676.98,0.2723,0.0038
0:37:37,37.62,60.5755,406.17,679.32,0.2801,0.0034
0:37:51,37.85,59.8101,408.50,681.65,0.2892,0.0039
0:38:05,38.08,59.1997,410.83,683.98,0.2965,0.0031
0:38:19,38.32,58.5893,413.17,686.32,0.3038,0.0031
0:38:33,38.55,57.9563,415.50,688.65,0.3113,0.0032
0:38:47,38.78,57.4137,417.83,690.98,0.3177,0.0028
0:39:01,39.02,56.7129,420.17,693.32,0.3261,0.0036
0:39:15,39.25,56.1703,422.50,695.65,0.3325,0.0028
0:39:29,39.48,55.5374,424.83,697.98,0.3401,0.0032
0:39:43,39.72,54.927,427.17,700.32,0.3473,0.0031
0:39:57,39.95,54.294,429.50,702.65,0.3548,0.0032
0:40:11,40.18,53.661,431.83,704.98,0.3624,0.0032
0:40:25,40.42,53.0506,434.17,707.32,0.3696,0.0031
0:40:40,40.67,52.4176,436.67,709.82,0.3772,0.0030
0:40:54,40.90,51.9203,439.00,712.15,0.3831,0.0025
0:41:08,41.13,51.4681,441.33,714.48,0.3884,0.0023
