T,a,da/dT
298.997436,0,
299.0960593,0.000411222,0.00416962
299.3338067,0.000834952,0.001782272
299.738046,0.001319318,0.001198215
300.318816,0.001840984,0.000898231
301.0694267,0.002421183,0.00077297
301.990482,0.003055589,0.000688782
303.053028,0.003752886,0.000656251
304.2476087,0.004556229,0.000672489
305.5481547,0.005450873,0.000687899
306.926294,0.006430114,0.000710553
308.3590653,0.007513154,0.000755906
309.8208253,0.008661506,0.000785595
311.2960867,0.009908623,0.000845353
312.7668627,0.011239722,0.000905031
314.2103167,0.012635167,0.00096674
315.6305107,0.014091812,0.001025666
317.0161333,0.015572992,0.001068963
318.356968,0.017082654,0.001125912
319.664008,0.01861884,0.001175317
320.9337547,0.020158451,0.001212534
322.1665653,0.021682878,0.001236545
323.3746367,0.023183394,0.001242076
324.5589987,0.024665097,0.001251056
325.7237047,0.026116831,0.001246438
326.8789347,0.027526015,0.00121983
328.0313473,0.028902964,0.00119484
329.183222,0.030247545,0.001167298
330.3306187,0.031537478,0.001124226
331.4847047,0.032780741,0.00107727
332.651836,0.033991132,0.001037065
333.82869,0.035168971,0.001000837
335.0194693,0.036300292,0.000950068
336.2212813,0.037395975,0.000911692
337.4400907,0.038440731,0.000857194
338.670282,0.039450413,0.000820752
339.910062,0.04043561,0.000794655
341.164764,0.041366427,0.000741863
342.4242293,0.042274379,0.000720903
343.697908,0.043157786,0.000693587
344.9744333,0.043982885,0.000646363
346.2532327,0.044804919,0.000642817
347.537676,0.045574253,0.000598963
348.82491,0.046337076,0.000592607
350.113524,0.04705167,0.000554544
351.3943513,0.047752053,0.000546821
352.6775507,0.048419945,0.00052049
353.955754,0.049069946,0.000508527
355.228676,0.04968563,0.000483678
356.500462,0.050278656,0.000466294
357.7627487,0.050851125,0.000453517
359.0248953,0.05141089,0.000443503
360.2853993,0.051934186,0.000415148
361.542824,0.052450592,0.000410685
362.7929793,0.052941427,0.000392619
364.0411967,0.053412638,0.000377507
365.2899007,0.053883111,0.000376769
366.5399033,0.054326373,0.000354609
367.7878593,0.054761761,0.000348881
