T,a,da/dT
479.6355867,0.066843534,-3.77855E-05
480.9095667,0.06680379,-3.11969E-05
482.1838267,0.066761341,-3.33129E-05
483.4602067,0.066707668,-4.20505E-05
484.7380667,0.066663085,-3.48892E-05
486.0186067,0.066614813,-3.76962E-05
487.2953933,0.066583316,-2.46695E-05
488.57842,0.066544573,-3.01963E-05
489.8596533,0.066486754,-4.51277E-05
491.1390933,0.066445746,-3.20514E-05
492.4236667,0.066416822,-2.25161E-05
493.7041067,0.066374691,-3.29036E-05
494.9859067,0.066337063,-2.93562E-05
496.2715933,0.066304208,-2.55544E-05
497.5567933,0.06626847,-2.78073E-05
498.8453333,0.066252473,-1.24147E-05
500.1337133,0.066233125,-1.50172E-05
501.42364,0.066221846,-8.74411E-06
502.7139467,0.066209012,-9.94577E-06
504.0064333,0.066201112,-6.11238E-06
505.2983533,0.066207908,5.26011E-06
506.5944067,0.066217624,7.49667E-06
507.8929867,0.066244498,2.06947E-05
509.1913667,0.066274591,2.31778E-05
510.4908333,0.066315122,3.11901E-05
511.7914533,0.066358788,3.35734E-05
513.0973733,0.066422476,4.87687E-05
514.4050067,0.066503378,6.18689E-05
515.7097867,0.066600361,7.4329E-05
517.01726,0.066703428,7.88293E-05
518.3250533,0.06683453,0.000100246
519.6347733,0.066969974,0.000103415
520.9466467,0.067125263,0.000118372
522.26494,0.067309176,0.000139508
523.5851533,0.067510162,0.000152238
524.90066,0.067739145,0.000174065
526.22174,0.067990462,0.000190236
527.5418067,0.068267202,0.000209641
528.8638,0.068569355,0.000228559
530.18838,0.068885999,0.000239052
531.5144933,0.06925799,0.000280512
532.8417,0.069661394,0.00030395
534.1709333,0.07009054,0.000322852
535.50306,0.070571392,0.000360966
536.8388133,0.071071012,0.000374036
538.1726,0.071621356,0.000412618
539.5090133,0.072222873,0.000450098
540.8503267,0.072869432,0.000482034
542.1930733,0.073551486,0.000507954
543.53628,0.074300186,0.000557397
544.8803467,0.075100836,0.000595692
546.22882,0.07594562,0.000626475
547.5761533,0.076844395,0.000667077
548.9249933,0.077821385,0.000724319
550.27046,0.07884455,0.000760454
551.6210867,0.079942046,0.000812583
552.9664,0.081088993,0.00085255
554.3142133,0.082306086,0.000903013
555.6627133,0.083599102,0.000958855
557.0126867,0.08496232,0.001009811
558.3617667,0.086400825,0.001066285
559.7121,0.087907556,0.001115822
561.059,0.089503465,0.001184875
562.40614,0.091163108,0.001231975
563.7495867,0.092910449,0.00130064
565.0916933,0.094733037,0.001358006
566.4334667,0.096625782,0.001410629
567.7712667,0.09860439,0.001479001
569.1038733,0.100657693,0.001540817
570.4342,0.102771671,0.001589067
571.76368,0.104968263,0.001652219
573.0847933,0.107235386,0.00171607
574.40156,0.109573508,0.001775654
575.7132467,0.112004765,0.001853535
577.0184467,0.11449635,0.001908968
578.31894,0.117045894,0.001960444
579.6143267,0.119676078,0.002030424
580.9065733,0.122363726,0.002079825
582.19366,0.125136843,0.002154569
583.4733467,0.127980884,0.002222451
584.7477467,0.130883652,0.002277753
586.01762,0.133851577,0.002337182
587.28416,0.136864096,0.002378542
588.5445533,0.139955513,0.00245274
589.7999267,0.143102147,0.002506532
591.0480667,0.146305907,0.002566828
592.29252,0.149539162,0.002598133
593.5358733,0.152836836,0.002652241
594.77216,0.156180113,0.002704289
596.0011133,0.159564716,0.002754053
597.2289333,0.163011884,0.002807552
598.45138,0.16650956,0.00286121
599.6739933,0.170045661,0.002892248
600.8949,0.173639469,0.002943556
602.11618,0.177281483,0.002982128
603.3391267,0.18096999,0.003016081
604.5567733,0.184708734,0.003070467
605.77398,0.188481821,0.003099792
606.9915667,0.192324708,0.003156151
608.2069933,0.19619475,0.003184102
609.42086,0.200122031,0.003235348
610.63836,0.20409324,0.003261773
611.85184,0.208110035,0.003310145
613.0682867,0.21215404,0.003324441
614.2842067,0.216276803,0.003390653
615.5009267,0.220441126,0.003422581
616.72008,0.224674669,0.003472527
617.93824,0.228956372,0.003514893
619.1601733,0.233286243,0.003543459
620.3861667,0.237707761,0.003606478
621.61414,0.242182456,0.003643968
622.84602,0.246743988,0.003702902
624.07948,0.251364358,0.003745862
625.32364,0.256059565,0.003773797
626.5703667,0.260841758,0.003835799
627.8207867,0.265744157,0.003920602
629.06944,0.270728282,0.0039916
630.33128,0.275797146,0.004017042
631.59512,0.280973158,0.004095465
632.8648933,0.286245985,0.004152573
634.13878,0.291643483,0.004237031
635.4163333,0.297150451,0.004310558
636.7018,0.302796298,0.004392061
637.9952067,0.308573734,0.004466836
639.2942,0.314478303,0.004545496
640.5951333,0.32053465,0.004655386
641.9040533,0.326722764,0.004727648
643.22074,0.333070912,0.004821305
644.54732,0.339616658,0.004934302
645.8844733,0.346360956,0.005043773
647.2325733,0.353297545,0.005145456
648.5881267,0.36040642,0.005244261
649.9563467,0.367746685,0.005364828
651.3359067,0.375350604,0.005511843
652.7316133,0.383203078,0.005626164
654.13748,0.391328361,0.005779554
655.5648733,0.399722156,0.005880506
